target,acquiror,sale_year
T J RANEY & SONS,MORGAN KEEGAN,1989
TEAM BANK,BANC ONE,1992
TEXAS AMER BANK,TEAM BANK,1989
THE ROBINSON HUMPHREY,BB&T,2020
THE ROBINSON HUMPHREY,SUNTRUST BANK,2001
TRI COUNTY BANK,FIRSTIER BANK,1993
TROY SAVINGS BANK,FIRST NIAGARA BANK,2003
TRUST CO BANK,SUNTRUST BANK,1985
TUCKER ANTHONY SUTRO,RBC BANK,2002
SUTRO,TUCKER ANTHONY SUTRO,1982
TUCKER ANTHONY,TUCKER ANTHONY SUTRO,1982
UNDERWOOD NEUHAUS,KEMPER SECURITIES,1990
UNION PLANTERS NATIONAL BANK,REGIONS BANK,2004
UNITED CALIFORNIA BANK,BANK OF THE WEST,2001
BANK OF THE WEST,BMO BANK,2023
UNITED JERSEY BANK,SUMMIT BANK,1996
VALLEY NATIONAL BANK OF ARIZONA,BANC ONE,1993
VAN KAMPEN,MORGAN STANLEY,1996
VINING SPARKS IBG LTD PRTSHP,STIFEL NICOLAUS,2021
WACHOVIA BANK,WELLS FARGO,2008
WARREN W YORK,LEGG MASON,1986
WELLS NELSON & ASSOCIATES,D A DAVIDSON,2019
WEST ONE BANK OREGON SB,US BANK,1996
WHEAT FIRST BUTCHER SINGER,FIRST UNION NATIONAL BANK,1997
WHEAT FIRST SECURITIES,WHEAT FIRST BUTCHER SINGER,1988
WHITNEY BANK,HANCOCK BANK,2010
WILLIAM R HOUGH,RBC BANK,2003
WILLIAMS CAPITAL GROUP LP,SIEBERT WILLIAMS SHANK,2019
WILMINGTON TRUST,M&T SECURITIES,2010
WM E POLLOCK,WESTPAC BANK,1986
YOUNG MOORE,TUCKER ANTHONY SUTRO,1986
ZAHNER,PIPER SANDLER,1992
STERNE AGEE & LEACH,STONEX GROUP,2017
SHEARSONAMERICAN EXPRESS,SMITH BARNEY,1993
SMITH BARNEY,CITIGROUP,1998
OKLAHOMA BANK,UMB BANK,1995
MARQUETTE NATIONAL BANK MINNEAPOLIS,FBS FINANCIAL,1992
CHEMICAL BANK MICHIGAN,TCF INVESTMENTS MANAGEMENT,2019
TCF INVESTMENTS MANAGEMENT,HUNTINGTON NATIONAL BANK,2021
NEWMAN & ASSOCIATES,GMAC COMMERCIAL HOLDING CAP MK,1998
KIRCHNER MOORE,DREXEL BURNHAM LAMBERT,1984
BLUNT ELLIS & LOEWI,KEMPER SECURITIES,1982
BMO BANK,PIPER SANDLER,2015
PEACOCK HISLOP STALEY & GIVEN,WEDBUSH SECURITIES,2008
TGH SECURITIES,CITIZENS BANK,2004
FIRST FIDELITY BANK OF NEW JERSEY,FIRST UNION NATIONAL BANK,1995
HARTFORD NATIONAL BANK,CONNECTICUT NATIONAL BANK,1982
FIRST SECURITY,GERMAN AMERICAN BANK,2018
THE SEIDLER COMPANIES,STONE & YOUNGBERG,2006
MASTERSON MORELAND SAUER,FIRSTSOUTHWEST,1996
BANK OF NEW ENGLAND,FLEET BANK,1991
MANLEY BENNETT MCDONALD,THOMSON MCKINNON SEC,1984
BURGESS & LEITH,ADVEST,1985
WERTHEIM SCHRODER,J HENRY SCHRODER,1986
J HENRY SCHRODER,CITIGROUP,2000
GOLD BANK,M & I BANK,2006
LEX JOLLEY,BANK SOUTH,1990
MBANK CAPITAL MKTS DALLASNA,BANC ONE,1990
B C CHRISTOPHER,FAHNESTOCK,1991
MARK PRESSMAN,WULFF HANSEN,2000
REPUBLICBANK DALLAS,FIRST REPUBLICBANK DALLAS,1987
INTERFIRST BANK DALLAS,FIRST REPUBLICBANK DALLAS,1987
FIRST REPUBLICBANK DALLAS,NATIONSBANK,1992
OLD KENT BANK,FIFTH THIRD BANK,2001
FRIEDMAN LUZZATTO,FIRSTSOUTHWEST,2001
TRUST CO OF NEW JERSEY,NORTH FORK BANK,2004
BBVA COMPASS,PNC BANK,2021
FIRST NATIONAL BANK OF ALABAMA,AMSOUTH BANK,1985
STAR BANK,FIRSTAR BANK,1998
FIDELITY BANK (NJ),FIRST FIDELITY BANK OF NEW JERSEY,1984
FIRST NATIONAL STATE BANK OF NJ,FIRST FIDELITY BANK OF NEW JERSEY,1984
ARTEMIS CAPITAL GROUP,DAIN BOSWORTH,1998
LADD DINKINS,J C BRADFORD,1992
DEPOSIT GUARANTY NATIONAL BANK,AMSOUTH BANK,1999
UNITED BANK & TR CO HARTFORD,PEOPLES UNITED BANK,2019
NATIONAL BANK OF GENEVA,FIVE STAR BANK,2005
SCHNEIDERBERNET & HICKMANINC,THOMSON MCKINNON SEC,1984
COWEN,TD BANK,2022
ONBANK,M&T SECURITIES,1997
UNION TRUST CO STAMFORD,FIRST FIDELITY BANK OF NEW JERSEY,1992
BANK OF WESTERN MASSACHUSETTS,PEOPLES UNITED BANK,2009
PIONEER FEDERAL SAVINGS BANK,SIGNET BANK RICHMOND,1994
SIGNET BANK RICHMOND,FIRST UNION NATIONAL BANK,1997
UNITED BANK OF DENVER,NORWEST INVESTMENT SERVICES,1991
CARTER KAPLAN CO CAP MKTS,FERRIS BAKER WATTS,1996
NBC CAPITAL MARKETS GROUP,SUNTRUST BANK,2004
FIRST NATIONAL BANK OF HIGHLAND,CENTRAL BANK ILLINOIS,1994
CENTRAL BANK ILLINOIS,MERCANTILE BANK OF ST LOUIS,1998
STEUBEN TRUST,COMMUNITY BANK,2020
BANK OF CALIFORNIA,UNION BANK,1996
BANK OF TOKYO,MITSUBISHI BANK,1996
UNION BANK,MUFG UNION BANK,2008
MITSUBISHI BANK,MUFG UNION BANK,2008
FIRST CONSTITUTION BANK,LAKELAND BANK,2022
SUFFOLK COUNTY NATIONAL BANK,PEOPLES UNITED BANK,2017
MARINE BANK NA MILWAUKEE,BANC ONE,1987
SUSSEX COUNTY STATE BANK,PROVIDENT BANK,2020
CHARTER INVESTMENT GROUP,SUTRO,1995
WYOMING COUNTY BANK,FIVE STAR BANK,2005
CENTRAL FIDELITY BANK,WACHOVIA BANK,1997
FIRST NATIONAL BANK OF IOWA,NORWEST INVESTMENT SERVICES,1990
PEOPLES NATIONAL BANK,NBH BANK,2018
BOSTON SAFE DEPOSIT & TRUST,SHEARSONAMERICAN EXPRESS,1981
BOSTON SAFE DEPOSIT & TRUST,MELLON BANK,1993
GIBRALTAR SECURITIES,TUCKER ANTHONY SUTRO,1999
PINNACLE BANK OF CICERO,OLD KENT BANK,1999
PINNACLE BANK OF QUAD CITIES,OLD KENT BANK,1999
HUDSON UNITED BANK,TD BANK,2005
GEORGE K BAUM,STIFEL NICOLAUS,2019
FIRST MIDWEST BANK,OLD NATIONAL BANK,2022
NATIONAL BANK & TR SYCAMORE,FIRST MIDWEST BANK,2016
FIRST NATIONAL BANK OF COMMERCE,BANC ONE,1997
ZAPPALA,PRESCOTT BALL & TURBEN,1981
CONNECTICUT NATIONAL BANK,SHAWMUT BANK,1988
SCOTT & STRINGFELLOW,BB&T,1998
BERGEN CAPITAL,BB&T,2005
